ATC;Bezeichnung
C09CA04;C09CA04 Irbesartan
C09CA05;C09CA05 Tasosartan
C09CA06;C09CA06 Candesartan
C09CA07;C09CA07 Telmisartan
C09CA08;C09CA08 Olmesartan medoxomil
C09CA09;C09CA09 Azilsartan medoxomil
C09DA01;C09DA01 Losartan und Diuretika
C09DA02;C09DA02 Eprosartan und Diuretika
C09DA03;C09DA03 Valsartan und Diuretika
C09DA04;C09DA04 Irbesartan und Diuretika
C09DA06;C09DA06 Candesartan und Diuretika
C09DA07;C09DA07 Telmisartan und Diuretika
C09DA08;C09DA08 Olmesartan medoxomil und Diuretika
C09DB01;C09DB01 Valsartan und Amlodipin
C09DB02;C09DB02 Olmesartan medoxomil und Amlodipin
C09DB04;C09DB04 Telmisartan und Amlodipin
C09DB05;C09DB05 Irbesartan und Amlodipin
C09DB06;C09DB06 Losartan und Amlodipin
C09DX01;C09DX01 Valsartan, Amlodipin und Hydrochlorothiazid
C09DX02;C09DX02 Valsartan und Aliskiren
C09DX03;C09DX03 Olmesartan medoxomil, Amlodipin und Hydrochlorothiazid
C09XA01;C09XA01 Remikiren
C09XA02;C09XA02 Aliskiren
C09XA52;C09XA52 Aliskiren und Hydrochlorothiazid
C09XA53;C09XA53 Aliskiren und Amlodipin
C09XA54;C09XA54 Aliskiren, Amlodipin und Hydrochlorothiazid
C10AA01;C10AA01 Simvastatin
C10AA02;C10AA02 Lovastatin
C10AA03;C10AA03 Pravastatin
C10AA04;C10AA04 Fluvastatin
C10AA05;C10AA05 Atorvastatin
C10AA06;C10AA06 Cerivastatin
C10AA07;C10AA07 Rosuvastatin
C10AA08;C10AA08 Pitavastatin
C10AB01;C10AB01 Clofibrat
C10AB02;C10AB02 Bezafibrat
C10AB03;C10AB03 Aluminiumclofibrat
C10AB04;C10AB04 Gemfibrozil
C10AB05;C10AB05 Fenofibrat
C10AB06;C10AB06 Simfibrat
C10AB07;C10AB07 Ronifibrat
C10AB08;C10AB08 Ciprofibrat
C10AB09;C10AB09 Etofibrat
C10AB10;C10AB10 Clofibrid
C10AB11;C10AB11 Cholinfenofibrat
C10AC01;C10AC01 Colestyramin
C10AC02;C10AC02 Colestipol
C10AC03;C10AC03 Colextran
C10AC04;C10AC04 Colesevelam
C10AD01;C10AD01 Niceritrol
C10AD02;C10AD02 Nicotinsäure
C10AD03;C10AD03 Nicofuranose
C10AD04;C10AD04 Aluminiumnicotinat
C10AD05;C10AD05 Nicotinylalkohol (Pyridylcarbinol)
C10AD06;C10AD06 Acipimox
C10AD52;C10AD52 Nicotinsäure, Kombinationen
C10AX01;C10AX01 Dextrothyroxin
C10AX02;C10AX02 Probucol
C10AX03;C10AX03 Tiadenol
C10AX05;C10AX05 Meglutol
C10AX06;C10AX06 Omega-3-Fettsäuren inkl. andere Ester und Säuren
C10AX07;C10AX07 Magnesiumpyridoxal-5-phosphatglutamat
C10AX08;C10AX08 Policosanol
C10AX09;C10AX09 Ezetimib
C10AX10;C10AX10 Alipogen tiparvovec
C10AX11;C10AX11 Mipomersen
C10BA01;C10BA01 Lovastatin und Nicotinsäure
C10BA02;C10BA02 Simvastatin und Ezetimib
C10BA03;C10BA03 Pravastatin und Fenofibrat
C10BX01;C10BX01 Simvastatin und Acetylsalicylsäure
C10BX02;C10BX02 Pravastatin und Acetylsalicylsäure
C10BX03;C10BX03 Atorvastatin und Amlodipin
C10BX04;C10BX04 Simvastatin, Acetylsalicylsäure und Ramipril
D01AA01;D01AA01 Nystatin
D01AA02;D01AA02 Natamycin
D01AA03;D01AA03 Hachimycin
D01AA04;D01AA04 Pecilocin
D01AA06;D01AA06 Mepartricin
D01AA07;D01AA07 Pyrrolnitrin
D01AA08;D01AA08 Griseofulvin
D01AA20;D01AA20 Kombinationen
D01AC01;D01AC01 Clotrimazol
D01AC02;D01AC02 Miconazol
D01AC03;D01AC03 Econazol
D01AC04;D01AC04 Chlormidazol
D01AC05;D01AC05 Isoconazol
D01AC06;D01AC06 Tiabendazol
D01AC07;D01AC07 Tioconazol
D01AC08;D01AC08 Ketoconazol
D01AC09;D01AC09 Sulconazol
D01AC10;D01AC10 Bifonazol
D01AC11;D01AC11 Oxiconazol
D01AC12;D01AC12 Fenticonazol
D01AC13;D01AC13 Omoconazol
D01AC14;D01AC14 Sertaconazol
D01AC15;D01AC15 Fluconazol
D01AC16;D01AC16 Flutrimazol
D01AC20;D01AC20 Kombinationen
D01AC52;D01AC52 Miconazol, Kombinationen
D01AC60;D01AC60 Bifonazol, Kombinationen
D01AE01;D01AE01 Bromchlorsalicylanilid
D01AE02;D01AE02 Methylrosanilin
D01AE03;D01AE03 Tribrommetacresol
D01AE04;D01AE04 Undecylensäure
D01AE05;D01AE05 Polynoxylin
D01AE06;D01AE06 2-(4-Chlorphenoxy)ethanol
D01AE07;D01AE07 Chlorphenesin
D01AE08;D01AE08 Ticlaton
D01AE09;D01AE09 Sulbentin
D01AE10;D01AE10 Ethylhydroxybenzoat
D01AE11;D01AE11 Haloprogin
D01AE12;D01AE12 Salicylsäure
D01AE13;D01AE13 Selendisulfid
D01AE14;D01AE14 Ciclopirox
D01AE15;D01AE15 Terbinafin
D01AE16;D01AE16 Amorolfin
D01AE17;D01AE17 Dimazol
D01AE18;D01AE18 Tolnaftat
D01AE19;D01AE19 Tolciclat
D01AE20;D01AE20 Kombinationen
D01AE21;D01AE21 Flucytosin
D01AE22;D01AE22 Naftifin
D01AE23;D01AE23 Butenafin
D01AE54;D01AE54 Undecylensäure, Kombinationen
D01BA01;D01BA01 Griseofulvin
D01BA02;D01BA02 Terbinafin
D02AE01;D02AE01 Harnstoff
D02AE51;D02AE51 Harnstoff, Kombinationen
D02BA01;D02BA01 Aminobenzoesäure
D02BA02;D02BA02 Octinoxat
D02BB01;D02BB01 Betacaroten
D03AX01;D03AX01 Cadexomer-Iod
D03AX02;D03AX02 Dextranomer
D03AX03;D03AX03 Dexpanthenol
D03AX04;D03AX04 Calciumpantothenat
D03AX05;D03AX05 Hyaluronsäure
D03AX06;D03AX06 Becaplermin
D03AX09;D03AX09 Crilanomer
D03AX10;D03AX10 Enoxolon
D03AX11;D03AX11 Tetrachlordecaoxid
D03BA01;D03BA01 Trypsin
D03BA02;D03BA02 Kollagenase
D03BA52;D03BA52 Kollagenase, Kombinationen
D04AA01;D04AA01 Thonzylamin
D04AA02;D04AA02 Mepyramin
D04AA03;D04AA03 Thenalidin
D04AA04;D04AA04 Tripelennamin
D04AA09;D04AA09 Chloropyramin
D04AA10;D04AA10 Promethazin
D04AA12;D04AA12 Tolpropamin
D04AA13;D04AA13 Dimetinden
D04AA14;D04AA14 Clemastin
D04AA15;D04AA15 Bamipin
D04AA22;D04AA22 Isothipendyl
D04AA32;D04AA32 Diphenhydramin
D04AA33;D04AA33 Diphenhydraminmethylbromid
D04AA34;D04AA34 Chlorphenoxamin
D04AB01;D04AB01 Lidocain
D04AB02;D04AB02 Cinchocain
D04AB03;D04AB03 Oxybuprocain
D04AB04;D04AB04 Benzocain
D04AB05;D04AB05 Chinisocain
D04AB06;D04AB06 Tetracain
D04AB07;D04AB07 Pramocain
D05AC01;D05AC01 Dithranol
D05AC51;D05AC51 Dithranol, Kombinationen
D05AD01;D05AD01 Trioxysalen
D05AD02;D05AD02 Methoxsalen
D05AX01;D05AX01 Fumarsäure
D05AX02;D05AX02 Calcipotriol
D05AX03;D05AX03 Calcitriol
D05AX04;D05AX04 Tacalcitol
D05AX05;D05AX05 Tazaroten
D05AX52;D05AX52 Calcipotriol, Kombinationen
D05BA01;D05BA01 Trioxysalen
D05BA02;D05BA02 Methoxsalen
D05BA03;D05BA03 Bergapten
D05BB01;D05BB01 Etretinat
D05BB02;D05BB02 Acitretin
D05BX51;D05BX51 Fumarsäure-Derivate, Kombinationen
D06AA01;D06AA01 Demeclocyclin
D06AA02;D06AA02 Chlortetracyclin
D06AA03;D06AA03 Oxytetracyclin
D06AA04;D06AA04 Tetracyclin
D06AX01;D06AX01 Fusidinsäure
D06AX02;D06AX02 Chloramphenicol
D06AX04;D06AX04 Neomycin
D06AX05;D06AX05 Bacitracin
D06AX07;D06AX07 Gentamicin
D06AX08;D06AX08 Tyrothricin
D06AX09;D06AX09 Mupirocin
D06AX10;D06AX10 Virginiamycin
D06AX11;D06AX11 Rifaximin
D06AX12;D06AX12 Amikacin
D06AX13;D06AX13 Retapamulin
D06BA01;D06BA01 Sulfadiazin-Silber
D06BA02;D06BA02 Sulfathiazol
D06BA03;D06BA03 Mafenid
D06BA04;D06BA04 Sulfamethizol
D06BA05;D06BA05 Sulfanilamid
D06BA06;D06BA06 Sulfamerazin
D06BA51;D06BA51 Sulfadiazin-Silber, Kombinationen
D06BB01;D06BB01 Idoxuridin
D06BB02;D06BB02 Tromantadin
D06BB03;D06BB03 Aciclovir
D06BB04;D06BB04 Podophyllotoxin
D06BB05;D06BB05 Inosin
D06BB06;D06BB06 Penciclovir
D06BB07;D06BB07 Lysozym
D06BB08;D06BB08 Ibacitabin
D06BB09;D06BB09 Edoxudin
D06BB10;D06BB10 Imiquimod
D06BB11;D06BB11 Docosanol
D06BB12;D06BB12 Catechine (Tee)
D06BB53;D06BB53 Aciclovir, Kombinationen
D06BX01;D06BX01 Metronidazol
D07AA01;D07AA01 Methylprednisolon
D07AA02;D07AA02 Hydrocortison
D07AA03;D07AA03 Prednisolon
D07AB01;D07AB01 Clobetason
D07AB02;D07AB02 Hydrocortisonbutyrat
D07AB03;D07AB03 Flumetason
D07AB04;D07AB04 Fluocortin
D07AB05;D07AB05 Fluperolon
D07AB06;D07AB06 Fluorometholon
D07AB07;D07AB07 Flupredniden
D07AB08;D07AB08 Desonid
D07AB09;D07AB09 Triamcinolon
D07AB10;D07AB10 Alclometason
D07AB11;D07AB11 Hydrocortisonbuteprat
D07AB19;D07AB19 Dexamethason
D07AB21;D07AB21 Clocortolon
D07AB30;D07AB30 Kombinationen mittelstark wirksamer Corticosteroide
D07AC01;D07AC01 Betamethason
D07AC02;D07AC02 Fluclorolon
D07AC03;D07AC03 Desoximetason
D07AC04;D07AC04 Fluocinolonacetonid
D07AC05;D07AC05 Fluocortolon
D07AC06;D07AC06 Diflucortolon
D07AC07;D07AC07 Fludroxycortid
D07AC08;D07AC08 Fluocinonid
D07AC09;D07AC09 Budesonid
D07AC10;D07AC10 Diflorason
D07AC11;D07AC11 Amcinonid
D07AC12;D07AC12 Halometason
D07AC13;D07AC13 Mometason
D07AC14;D07AC14 Methylprednisolonaceponat
D07AC15;D07AC15 Beclometason
D07AC16;D07AC16 Hydrocortisonaceponat
D07AC17;D07AC17 Fluticason
D07AC18;D07AC18 Prednicarbat
D07AC19;D07AC19 Difluprednat
D07AC21;D07AC21 Ulobetasol
D07AD01;D07AD01 Clobetasol
D07AD02;D07AD02 Halcinonid
D07BA01;D07BA01 Prednisolon und Antiseptika
D07BA04;D07BA04 Hydrocortison und Antiseptika
D07BB01;D07BB01 Flumetason und Antiseptika
D07BB02;D07BB02 Desonid und Antiseptika
D07BB03;D07BB03 Triamcinolon und Antiseptika
D07BB04;D07BB04 Hydrocortisonbutyrat und Antiseptika
D07BC01;D07BC01 Betamethason und Antiseptika
D07BC02;D07BC02 Fluocinolonacetonid und Antiseptika
D07BC03;D07BC03 Fluocortolon und Antiseptika
D07BC04;D07BC04 Diflucortolon und Antiseptika
D07CA01;D07CA01 Hydrocortison und Antibiotika
D07CA02;D07CA02 Methylprednisolon und Antibiotika
D07CA03;D07CA03 Prednisolon und Antibiotika
D07CB01;D07CB01 Triamcinolon und Antibiotika
D07CB02;D07CB02 Flupredniden und Antibiotika
D07CB03;D07CB03 Fluorometholon und Antibiotika
D07CB04;D07CB04 Dexamethason und Antibiotika
D07CB05;D07CB05 Flumetason und Antibiotika
D07CC01;D07CC01 Betamethason und Antibiotika
D07CC02;D07CC02 Fluocinolonacetonid und Antibiotika
D07CC03;D07CC03 Fludroxycortid und Antibiotika
D07CC04;D07CC04 Beclometason und Antibiotika
D07CC05;D07CC05 Fluocinonid und Antibiotika
D07CC06;D07CC06 Fluocortolon und Antibiotika
D07CD01;D07CD01 Clobetasol und Antibiotika
D07XA01;D07XA01 Hydrocortison
D07XA02;D07XA02 Prednisolon
D07XB01;D07XB01 Flumetason
D07XB02;D07XB02 Triamcinolon
D07XB03;D07XB03 Flupredniden
D07XB04;D07XB04 Fluorometholon
D07XB05;D07XB05 Dexamethason
D07XB30;D07XB30 Kombinationen mittelstark wirksamer Corticosteroide
D07XC01;D07XC01 Betamethason
D07XC02;D07XC02 Desoximetason
D07XC03;D07XC03 Mometason
D07XC04;D07XC04 Diflucortolon
D08AA01;D08AA01 Ethacridinlactat
D08AA02;D08AA02 Aminoacridin
D08AA03;D08AA03 Euflavin
D08AC01;D08AC01 Dibrompropamidin
D08AC02;D08AC02 Chlorhexidin
D08AC03;D08AC03 Propamidin
D08AC04;D08AC04 Hexamidin
D08AC05;D08AC05 Polihexanid
D08AC52;D08AC52 Chlorhexidin, Kombinationen
D08AE01;D08AE01 Hexachlorophen
D08AE02;D08AE02 Policresulen
D08AE03;D08AE03 Phenol
D08AE04;D08AE04 Triclosan
D08AE05;D08AE05 Chloroxylenol
D08AE06;D08AE06 Biphenylol
D08AF01;D08AF01 Nitrofural
D08AG01;D08AG01 Iodoctylphenoxypolyglycolether
D08AG02;D08AG02 Povidon-Iod
D08AG03;D08AG03 Iod
D08AG04;D08AG04 Diiodhydroxypropan
D08AH01;D08AH01 Dequalinium
D08AH02;D08AH02 Chlorquinaldol
D08AH03;D08AH03 Oxichinolin
D08AH30;D08AH30 Clioquinol
D08AJ01;D08AJ01 Benzalkonium
D08AJ02;D08AJ02 Cetrimonium
D08AJ03;D08AJ03 Cetylpyridinium
D08AJ04;D08AJ04 Cetrimid
D08AJ05;D08AJ05 Benzoxoniumchlorid
D08AJ06;D08AJ06 Didecyldimethylammoniumchlorid
D08AJ08;D08AJ08 Benzethoniumchlorid
D08AJ57;D08AJ57 Octenidin, Kombinationen
D08AJ58;D08AJ58 Benzethoniumchlorid, Kombinationen
D08AJ59;D08AJ59 Dodecloniumbromid, Kombinationen
D08AK01;D08AK01 Quecksilberamidochlorid
D08AK02;D08AK02 Phenylmercuriborat
D08AK03;D08AK03 Quecksilberchlorid
D08AK04;D08AK04 Merbromin
D08AK05;D08AK05 Metallisches Quecksilber
D08AK06;D08AK06 Thiomersal
D08AK30;D08AK30 Quecksilberiodid
D08AL01;D08AL01 Silbernitrat
D08AL30;D08AL30 Silber
D08AX01;D08AX01 Wasserstoffperoxid
D08AX02;D08AX02 Eosin
D08AX03;D08AX03 Propanol
D08AX04;D08AX04 Tosylchloramid-Natrium
D08AX05;D08AX05 Isopropanol
D08AX06;D08AX06 Kaliumpermanganat
D08AX07;D08AX07 Natriumhypochlorit
D08AX08;D08AX08 Ethanol
D08AX53;D08AX53 Propanol, Kombinationen
D09AA01;D09AA01 Framycetin
D09AA02;D09AA02 Fusidinsäure
D09AA03;D09AA03 Nitrofural
D09AA04;D09AA04 Phenylquecksilbernitrat
D09AA05;D09AA05 Benzododecinium
D09AA06;D09AA06 Triclosan
D09AA07;D09AA07 Cetylpyridinium
D09AA08;D09AA08 Aluminiumhydroxychlorid
D09AA09;D09AA09 Povidon-Iod
D09AA10;D09AA10 Clioquinol
D09AA11;D09AA11 Benzalkonium
D09AA12;D09AA12 Chlorhexidin
D09AA13;D09AA13 Iodoform
D09AB01;D09AB01 Zink-haltige Verbände ohne Zusätze
D09AB02;D09AB02 Zink-haltige Verbände mit Zusätzen
D10AA01;D10AA01 Fluorometholon
D10AA02;D10AA02 Methylprednisolon
D10AA03;D10AA03 Dexamethason
D10AB01;D10AB01 Bithionol
D10AB02;D10AB02 Schwefel
D10AB03;D10AB03 Tioxolon
D10AB05;D10AB05 Mesulfen
D10AD01;D10AD01 Tretinoin
D10AD02;D10AD02 Retinol
D10AD03;D10AD03 Adapalen
D10AD04;D10AD04 Isotretinoin
D10AD05;D10AD05 Motretinid
D10AD51;D10AD51 Tretinoin, Kombinationen
D10AD53;D10AD53 Adapalen, Kombinationen
D10AD54;D10AD54 Isotretinoin, Kombinationen
D10AE01;D10AE01 Benzoylperoxid
D10AE51;D10AE51 Benzoylperoxid, Kombinationen
D10AF01;D10AF01 Clindamycin
D10AF02;D10AF02 Erythromycin
D10AF03;D10AF03 Chloramphenicol
D10AF04;D10AF04 Meclocyclin
D10AF51;D10AF51 Clindamycin, Kombinationen
D10AF52;D10AF52 Erythromycin, Kombinationen
D10AX01;D10AX01 Aluminiumchlorid
D10AX02;D10AX02 Resorcin
D10AX03;D10AX03 Azelainsäure
D10AX04;D10AX04 Aluminiumoxid
D10AX05;D10AX05 Dapson
D10AX30;D10AX30 Verschiedene Kombinationen
D10BA01;D10BA01 Isotretinoin
D10BX01;D10BX01 Natriumbituminosulfonat
D11AC01;D11AC01 Cetrimid
D11AC02;D11AC02 Cadmium-haltige Verbindungen
D11AC03;D11AC03 Selen-haltige Verbindungen
D11AC06;D11AC06 Povidon-Iod
D11AC08;D11AC08 Schwefel-haltige Verbindungen
D11AC09;D11AC09 Xenysalat
D11AC30;D11AC30 Verschiedene
D11AE01;D11AE01 Metandienon
D11AH01;D11AH01 Tacrolimus
D11AH02;D11AH02 Pimecrolimus
D11AH03;D11AH03 Cromoglicinsäure
D11AH04;D11AH04 Alitretinoin
D11AX01;D11AX01 Minoxidil
D11AX02;D11AX02 Gamolensäure
D11AX03;D11AX03 Calciumgluconat
D11AX04;D11AX04 Lithiumsuccinat
D11AX05;D11AX05 Magnesiumsulfat
D11AX06;D11AX06 Mequinol
D11AX08;D11AX08 Tiratricol
D11AX09;D11AX09 Oxaceprol
D11AX10;D11AX10 Finasterid
D11AX11;D11AX11 Hydrochinon
D11AX12;D11AX12 Pyrithion zink
D11AX13;D11AX13 Monobenzon
D11AX16;D11AX16 Eflornithin
D11AX18;D11AX18 Diclofenac
D11AX52;D11AX52 Gamolensäure, Kombinationen
D11AX57;D11AX57 Kollagen, Kombinationen
G01AA01;G01AA01 Nystatin
G01AA02;G01AA02 Natamycin
G01AA03;G01AA03 Amphotericin B
G01AA04;G01AA04 Candicidin
G01AA05;G01AA05 Chloramphenicol
G01AA06;G01AA06 Hachimycin
G01AA07;G01AA07 Oxytetracyclin
G01AA08;G01AA08 Carfecillin
G01AA09;G01AA09 Mepartricin
G01AA10;G01AA10 Clindamycin
G01AA11;G01AA11 Pentamycin
G01AA51;G01AA51 Nystatin, Kombinationen
G01AB01;G01AB01 Acetarsol
G01AC01;G01AC01 Diiodhydroxychinolin
G01AC02;G01AC02 Clioquinol
G01AC03;G01AC03 Chlorquinaldol
G01AC05;G01AC05 Dequalinium
G01AC06;G01AC06 Broxychinolin
G01AC30;G01AC30 Oxychinolin
G01AD01;G01AD01 Milchsäure
G01AD02;G01AD02 Essigsäure
G01AD03;G01AD03 Ascorbinsäure
G01AE01;G01AE01 Sulfatolamid
G01AE10;G01AE10 Kombinationen von Sulfonamiden
G01AF01;G01AF01 Metronidazol
G01AF02;G01AF02 Clotrimazol
G01AF04;G01AF04 Miconazol
G01AF05;G01AF05 Econazol
G01AF06;G01AF06 Ornidazol
G01AF07;G01AF07 Isoconazol
G01AF08;G01AF08 Tioconazol
G01AF11;G01AF11 Ketoconazol
G01AF12;G01AF12 Fenticonazol
G01AF13;G01AF13 Azanidazol
G01AF14;G01AF14 Propenidazol
G01AF15;G01AF15 Butoconazol
G01AF16;G01AF16 Omoconazol
G01AF17;G01AF17 Oxiconazol
G01AF18;G01AF18 Flutrimazol
G01AF20;G01AF20 Kombinationen von Imidazol-Derivaten
G01AG02;G01AG02 Terconazol
G01AX01;G01AX01 Clodantoin
G01AX02;G01AX02 Inosin
G01AX03;G01AX03 Policresulen
G01AX05;G01AX05 Nifuratel
G01AX06;G01AX06 Furazolidon
G01AX09;G01AX09 Methylrosanilin
G01AX11;G01AX11 Povidon-Iod
G01AX12;G01AX12 Ciclopirox
G01AX13;G01AX13 Protiofat
G01AX14;G01AX14 Lactobacillus-Ferment
G01AX15;G01AX15 Kupferusnat
G01AX66;G01AX66 Octenidin, Kombinationen
G02AB01;G02AB01 Methylergometrin
G02AB02;G02AB02 Mutterkorn-Alkaloide
G02AB03;G02AB03 Ergometrin
G02AC01;G02AC01 Methylergometrin und Oxytocin
G02AD01;G02AD01 Dinoprost
G02AD02;G02AD02 Dinoproston
G02AD03;G02AD03 Gemeprost
G02AD04;G02AD04 Carboprost
G02AD05;G02AD05 Sulproston
G02AD06;G02AD06 Misoprostol
G02BA01;G02BA01 Plastik-IUP
G02BA02;G02BA02 Plastik-IUP mit Kupfer
G02BA03;G02BA03 Plastik-IUP mit Gestagen
G02BB01;G02BB01 Vaginalring mit Gestagenen und Estrogenen
G02CA01;G02CA01 Ritodrin
G02CA02;G02CA02 Buphenin
G02CA03;G02CA03 Fenoterol
G02CB01;G02CB01 Bromocriptin
G02CB02;G02CB02 Lisurid
G02CB03;G02CB03 Cabergolin
G02CB04;G02CB04 Quinagolid
G02CB05;G02CB05 Metergolin
G02CB06;G02CB06 Tergurid
G02CC01;G02CC01 Ibuprofen
G02CC02;G02CC02 Naproxen
G02CC03;G02CC03 Benzydamin
G02CC04;G02CC04 Flunoxaprofen
G02CX01;G02CX01 Atosiban
G03AA01;G03AA01 Etynodiol und Estrogen
G03AA02;G03AA02 Quingestanol und Estrogen
G03AA03;G03AA03 Lynestrenol und Estrogen
G03AA04;G03AA04 Megestrol und Estrogen
G03AA05;G03AA05 Norethisteron und Estrogen
G03AA06;G03AA06 Norgestrel und Estrogen
G03AA07;G03AA07 Levonorgestrel und Estrogen
G03AA08;G03AA08 Medroxyprogesteron und Estrogen
G03AA09;G03AA09 Desogestrel und Estrogen
G03AA10;G03AA10 Gestoden und Estrogen
G03AA11;G03AA11 Norgestimat und Estrogen
G03AA12;G03AA12 Drospirenon und Estrogen
G03AA13;G03AA13 Norelgestromin und Estrogen
G03AA14;G03AA14 Nomegestrol und Estrogen
G03AA15;G03AA15 Chlormadinon und Estrogen
G03AB01;G03AB01 Megestrol und Estrogen
G03AB02;G03AB02 Lynestrenol und Estrogen
G03AB03;G03AB03 Levonorgestrel und Estrogen
G03AB04;G03AB04 Norethisteron und Estrogen
G03AB05;G03AB05 Desogestrel und Estrogen
G03AB06;G03AB06 Gestoden und Estrogen
G03AB07;G03AB07 Chlormadinon und Estrogen
G03AB08;G03AB08 Dienogest und Estrogen
G03AC01;G03AC01 Norethisteron
G03AC02;G03AC02 Lynestrenol
G03AC03;G03AC03 Levonorgestrel
G03AC04;G03AC04 Quingestanol
G03AC05;G03AC05 Megestrol
G03AC06;G03AC06 Medroxyprogesteron
G03AC07;G03AC07 Norgestrienon
G03AC08;G03AC08 Etonogestrel
G03AC09;G03AC09 Desogestrel
G03AD01;G03AD01 Levonorgestrel
G03AD02;G03AD02 Ulipristal
G03BA01;G03BA01 Fluoxymesteron
G03BA02;G03BA02 Methyltestosteron
G03BA03;G03BA03 Testosteron
G03BB01;G03BB01 Mesterolon
G03BB02;G03BB02 Androstanolon
G03CA01;G03CA01 Ethinylestradiol
G03CA03;G03CA03 Estradiol
G03CA04;G03CA04 Estriol
G03CA06;G03CA06 Chlorotrianisen
G03CA07;G03CA07 Estron
G03CA09;G03CA09 Promestrien
G03CA53;G03CA53 Estradiol, Kombinationen
G03CA57;G03CA57 Konjugierte Estrogene
G03CB01;G03CB01 Dienestrol
G03CB02;G03CB02 Diethylstilbestrol
G03CB03;G03CB03 Methallenestril
G03CB04;G03CB04 Moxestrol
G03CC02;G03CC02 Dienestrol
G03CC03;G03CC03 Methallenestril
G03CC04;G03CC04 Estron
G03CC05;G03CC05 Diethylstilbestrol
G03CC06;G03CC06 Estriol
G03CX01;G03CX01 Tibolon
G03DA01;G03DA01 Gestonoron
G03DA02;G03DA02 Medroxyprogesteron
G03DA03;G03DA03 Hydroxyprogesteron
G03DA04;G03DA04 Progesteron
G03DB01;G03DB01 Dydrogesteron
G03DB02;G03DB02 Megestrol
G03DB03;G03DB03 Medrogeston
G03DB04;G03DB04 Nomegestrol
G03DB05;G03DB05 Demegeston
G03DB06;G03DB06 Chlormadinon
G03DB07;G03DB07 Promegeston
G03DB08;G03DB08 Dienogest
G03DC01;G03DC01 Allylestrenol
G03DC02;G03DC02 Norethisteron
G03DC03;G03DC03 Lynestrenol
G03DC04;G03DC04 Ethisteron
G03DC06;G03DC06 Etynodiol
G03DC31;G03DC31 Methylestrenolon
G03EA01;G03EA01 Methyltestosteron und Estrogen
G03EA02;G03EA02 Testosteron und Estrogen
G03EA03;G03EA03 Prasteron und Estrogen
G03EK01;G03EK01 Methyltestosteron
G03FA01;G03FA01 Norethisteron und Estrogen
G03FA02;G03FA02 Hydroxyprogesteron und Estrogen
G03FA03;G03FA03 Ethisteron und Estrogen
G03FA04;G03FA04 Progesteron und Estrogen
G03FA05;G03FA05 Methylnortestosteron und Estrogen
G03FA06;G03FA06 Etynodiol und Estrogen
G03FA07;G03FA07 Lynestrenol und Estrogen
G03FA08;G03FA08 Megestrol und Estrogen
G03FA09;G03FA09 Noretynodrel und Estrogen
G03FA10;G03FA10 Norgestrel und Estrogen
G03FA11;G03FA11 Levonorgestrel und Estrogen
G03FA12;G03FA12 Medroxyprogesteron und Estrogen
G03FA13;G03FA13 Norgestimat und Estrogen
G03FA14;G03FA14 Dydrogesteron und Estrogen
G03FA15;G03FA15 Dienogest und Estrogen
G03FA16;G03FA16 Trimegeston und Estrogen
G03FA17;G03FA17 Drospirenon und Estrogen
G03FB01;G03FB01 Norgestrel und Estrogen
G03FB02;G03FB02 Lynestrenol und Estrogen
G03FB03;G03FB03 Chlormadinon und Estrogen
G03FB04;G03FB04 Megestrol und Estrogen
G03FB05;G03FB05 Norethisteron und Estrogen
G03FB06;G03FB06 Medroxyprogesteron und Estrogen
G03FB07;G03FB07 Medrogeston und Estrogen
G03FB08;G03FB08 Dydrogesteron und Estrogen
G03FB09;G03FB09 Levonorgestrel und Estrogen
G03FB10;G03FB10 Desogestrel und Estrogen
G03FB11;G03FB11 Trimegeston und Estrogen
G03GA01;G03GA01 Choriongonadotrophin
G03GA02;G03GA02 Humanes menopausales Gonadotrophin
G03GA03;G03GA03 Serumgonadotrophin
G03GA04;G03GA04 Urofollitropin
G03GA05;G03GA05 Follitropin alfa
G03GA06;G03GA06 Follitropin beta
G03GA07;G03GA07 Lutropin alfa
G03GA08;G03GA08 Choriongonadotropin alfa
G03GA09;G03GA09 Corifollitropin alfa
G03GA30;G03GA30 Kombinationen
G03GB01;G03GB01 Cyclofenil
G03GB02;G03GB02 Clomifen
G03GB03;G03GB03 Epimestrol
G03HA01;G03HA01 Cyproteron
G03HB01;G03HB01 Cyproteron und Estrogen
G03XA01;G03XA01 Danazol
G03XA02;G03XA02 Gestrinon
G03XB01;G03XB01 Mifepriston
G03XC01;G03XC01 Raloxifen
G03XC02;G03XC02 Bazedoxifen
G03XC03;G03XC03 Lasofoxifen
G04BA01;G04BA01 Ammoniumchlorid
G04BA03;G04BA03 Calciumchlorid
G04BD01;G04BD01 Emepronium
G04BD02;G04BD02 Flavoxat
G04BD03;G04BD03 Meladrazin
G04BD04;G04BD04 Oxybutynin
G04BD05;G04BD05 Terodilin
G04BD06;G04BD06 Propiverin
G04BD07;G04BD07 Tolterodin
G04BD08;G04BD08 Solifenacin
G04BD09;G04BD09 Trospium
G04BD10;G04BD10 Darifenacin
G04BD11;G04BD11 Fesoterodin
G04BE01;G04BE01 Alprostadil
G04BE02;G04BE02 Papaverin
G04BE03;G04BE03 Sildenafil
G04BE04;G04BE04 Yohimbin
G04BE06;G04BE06 Moxisylyt
G04BE07;G04BE07 Apomorphin
G04BE08;G04BE08 Tadalafil
